time,keys,target_x,target_y,target_z,target_rx,target_ry,target_rz,feedback_p1,feedback_p2,feedback_p3,feedback_p4,feedback_p5,target_p1,target_p2,target_p3,target_p4,target_p5,pulse_err1,pulse_err2,pulse_err3,pulse_err4,pulse_err5
1789282539.3622344,w,0.012600000000000007,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.377286,w,0.012800000000000008,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.4006085,w,0.013000000000000008,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.4163573,w,0.013200000000000009,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.4320295,,0.013200000000000009,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.465921,,0.013200000000000009,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.4828653,,0.013200000000000009,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.49811,,0.013200000000000009,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.5137062,,0.013200000000000009,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.5314612,,0.013200000000000009,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.5657797,s,0.013000000000000008,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.5810876,s,0.012800000000000008,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.5974016,s,0.012600000000000007,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.6151218,s,0.012400000000000007,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.631295,s,0.012200000000000006,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.6637075,s,0.012000000000000005,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.6819055,s,0.011800000000000005,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.698738,s,0.011600000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.7157533,s,0.011400000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.7310474,s,0.011200000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.7653086,s,0.011000000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.781281,s,0.010800000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.799256,s,0.010600000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.8156636,s,0.010400000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.846086,s,0.0102,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.8612797,s,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.8837216,s,0.0098,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.9007041,s,0.0096,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.9160535,s,0.009399999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.931996,s,0.009199999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282539.965103,s,0.008999999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
